,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
1014,seller,VERIFIED OWNER,Residential Plot,Alair,Hyderabad, 9 L,666 ,1350 ,Resale
1015,seller,VERIFIED OWNER,Residential Plot,Maheshwaram,Hyderabad, 38.4 L,"2,560 ",1500 ,Resale
1016,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 32 L,"1,777 ",1800 ,Resale
1017,seller,VERIFIED OWNER,Residential Plot,Bibinagar,Hyderabad, 21 L,"1,555 ",1350 ,Resale
1018,seller,VERIFIED OWNER,Residential Plot,Bhuvanagiri,Hyderabad, 9 L,666 ,1350 ,Resale
1019,seller,VERIFIED OWNER,Residential Plot,Rudraram,Hyderabad, 26 L,"1,444 ",1800 ,Resale
1020,seller,VERIFIED OWNER,Residential Plot,Balanagar,Hyderabad, 12.4 L,835 ,1485 ,Resale
1021,seller,VERIFIED OWNER,Residential Plot,Moinabad,Hyderabad, 24 L,"1,153 ",2080 ,Resale
1022,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 21 L,"1,166 ",1800 ,Resale
1023,seller,VERIFIED OWNER,Residential Plot,Cheeriyal,Hyderabad, 28 L,"1,885 ",1485 ,Resale
1024,seller,VERIFIED OWNER,Residential Plot,Shankarpally Road,Hyderabad, 26 L,"1,444 ",1800 ,Resale
1025,seller,VERIFIED OWNER,Residential Plot,Wangapalli,Hyderabad, 8.25 L,611 ,1350 ,Resale
1026,seller,VERIFIED OWNER,Residential Plot,Shamshabad,Hyderabad, 80 L,"1,777 ",4500 ,Resale
1027,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 18 L,"1,000 ",1800 ,Resale
1028,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 18 L,"1,000 ",1800 ,Resale
1029,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 18 L,"1,000 ",1800 ,Resale
1030,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 18 L,"1,000 ",1800 ,Resale
1031,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 18 L,"1,000 ",1800 ,Resale
1032,seller,VERIFIED OWNER,Residential Plot,Devaryamjal,Hyderabad, 80 L,"4,444 ",1800 ,Resale
1033,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 7.3 L,551 ,1323 ,Resale
1034,seller,VERIFIED OWNER,Residential Plot,Bhuvanagiri,Hyderabad, 28.39 L,"1,888 ",1503 ,Resale
1035,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 38.99 L,"1,444 ",2700 ,Resale
1036,seller,VERIFIED OWNER,Residential Plot,Yacharam,Hyderabad, 13.2 L,880 ,1500 ,Resale
1037,seller,VERIFIED OWNER,Residential Plot,Alampally,Hyderabad, 12 L,728 ,1647 ,Resale
1038,seller,VERIFIED OWNER,Residential Plot,Devatabowli,Hyderabad, 27 L,"3,000 ",900 ,Resale
1039,seller,VERIFIED OWNER,Residential Plot,Chevella,Hyderabad, 68 L,689 ,9860 ,Resale
1040,seller,VERIFIED OWNER,Residential Plot,Mansanpally,Hyderabad, 36.6 L,"2,222 ",1647 ,Resale
1041,seller,VERIFIED OWNER,Residential Plot,muthangi,Hyderabad, 49.41 L,"3,000 ",1647 ,Resale
1042,seller,VERIFIED OWNER,Residential Plot,Taramatipet,Hyderabad, 27 L,"1,800 ",1500 ,Resale
1043,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 21.45 L,"1,444 ",1485 ,Resale
1044,seller,VERIFIED OWNER,Residential Plot,Devaryamjal,Hyderabad, 80 L,"4,444 ",1800 ,Resale
1045,seller,VERIFIED OWNER,Residential Plot,Bhuvanagiri,Hyderabad, 28.39 L,"1,888 ",1503 ,Resale
1046,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 38.99 L,"1,444 ",2700 ,Resale
1047,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 22.49 L,"1,665 ",1350 ,Resale
1048,seller,VERIFIED OWNER,Residential Plot,Lakdaram,Hyderabad, 35.48 L,"2,667 ",1330 ,Resale
1049,seller,VERIFIED OWNER,Residential Plot,Nagaram,Hyderabad, 70 L,"3,888 ",1800 ,Resale
1050,seller,VERIFIED OWNER,Residential Plot,Mansanpally,Hyderabad, 24.98 L,"1,388 ",1800 ,Resale
1051,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 10 L,740 ,1350 ,Resale
1052,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 9.07 L,672 ,1350 ,Resale
1053,seller,VERIFIED OWNER,Residential Plot,Alair,Hyderabad, 7.35 L,555 ,1323 ,Resale
1054,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 44 L,"1,222 ",3600 ,Resale
1055,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 14.5 L,966 ,1500 ,Resale
1056,seller,VERIFIED OWNER,Residential Plot,Ghatkesar,Hyderabad, 88.11 L,"3,666 ",2403 ,Resale
1057,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 15.99 L,888 ,1800 ,Resale
1058,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 7.3 L,551 ,1323 ,Resale
1059,seller,VERIFIED OWNER,Residential Plot,Bibinagar,Hyderabad, 19.5 L,"1,444 ",1350 ,Resale
1060,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 24.75 L,"1,650 ",1500 ,Resale
1061,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 17 L,"1,511 ",1125 ,Resale
1062,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 28.5 L,"1,896 ",1503 ,Resale
1063,seller,VERIFIED OWNER,Residential Plot,Maheshwaram,Hyderabad, 49 L,"2,385 ",2054 ,Resale
1064,seller,VERIFIED OWNER,Residential Plot,Kammadanam,Hyderabad, 25 L,"1,683 ",1485 ,Resale
1065,seller,VERIFIED OWNER,Residential Plot,Dundigal,Hyderabad, 66 L,"3,666 ",1800 ,Resale
1066,seller,VERIFIED OWNER,Residential Plot,Jillelguda,Hyderabad, 11.25 L,833 ,1350 ,Resale
1067,seller,VERIFIED OWNER,Residential Plot,Turkapally,Hyderabad, 46 L,"2,094 ",2196 ,Resale
1068,seller,VERIFIED OWNER,Residential Plot,Cheeriyal,Hyderabad, 28 L,"2,681 ",1044 ,Resale
1069,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 62.5 L,"1,388 ",4500 ,Resale
1070,seller,VERIFIED OWNER,Residential Plot,Taramatipet,Hyderabad, 39.58 L,"2,166 ",1827 ,Resale
1071,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 38 L,"2,111 ",1800 ,Resale
1072,seller,VERIFIED OWNER,Residential Plot,Moinabad,Hyderabad, 92.1 L,"1,666 ",5526 ,Resale
1073,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 10 L,740 ,1350 ,Resale
1074,seller,VERIFIED OWNER,Residential Plot,Kandukur,Hyderabad, 9.07 L,672 ,1350 ,Resale
1075,seller,VERIFIED OWNER,Residential Plot,Alair,Hyderabad, 7.35 L,555 ,1323 ,Resale
1076,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 44 L,"1,222 ",3600 ,Resale
1077,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 14.5 L,966 ,1500 ,Resale
1078,seller,VERIFIED OWNER,Residential Plot,Ghatkesar,Hyderabad, 88.11 L,"3,666 ",2403 ,Resale
1079,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 22.49 L,"1,665 ",1350 ,Resale
1080,seller,VERIFIED OWNER,Residential Plot,Moinabad,Hyderabad, 92.1 L,"1,666 ",5526 ,Resale
1081,seller,VERIFIED OWNER,Residential Plot,Bonthapalle,Hyderabad, 3.78 Cr,"2,500 ",15120 ,Resale
1082,seller,VERIFIED OWNER,Residential Plot,Kondakal,Hyderabad, 66 L,"2,941 ",2244 ,Resale
1083,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 26.55 L,"1,777 ",1494 ,Resale
1084,seller,VERIFIED OWNER,Residential Plot,Gachibowli,Hyderabad, 13.23 L,"1,000 ",1323 ,Resale
1085,seller,VERIFIED OWNER,Residential Plot,Sadashivpet,Hyderabad, 28 L,777 ,3600 ,Resale
1086,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 13 L,982 ,1323 ,Resale
1087,seller,VERIFIED OWNER,Residential Plot,Dundigal,Hyderabad, 12 L,784 ,1530 ,Resale
1088,seller,VERIFIED OWNER,Residential Plot,Jadcherla,Hyderabad, 26.7 L,"2,223 ",1201 ,Resale
1089,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 24 L,"1,777 ",1350 ,Resale
1090,seller,VERIFIED OWNER,Residential Plot,Ghatkesar,Hyderabad, 25.24 L,"1,402 ",1800 ,Resale
1091,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 15.67 L,"1,055 ",1485 ,Resale
1092,seller,VERIFIED OWNER,Residential Plot,Sangareddy,Hyderabad, 43.92 L,"2,661 ",1650 ,Resale
1093,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 22.5 L,170 ,13230 ,Resale
1094,seller,VERIFIED OWNER,Residential Plot,Zaheerabad,Hyderabad, 16.5 L,128 ,12834 ,Resale
1095,seller,VERIFIED OWNER,Residential Plot,Kondapur,Hyderabad, 3 Cr,"16,666 ",1800 ,Resale
1096,seller,VERIFIED OWNER,Residential Plot,Kukatpally,Hyderabad, 2.5 Cr,"14,318 ",1746 ,Resale
1097,seller,VERIFIED OWNER,Residential Plot,Kothur,Hyderabad, 24 L,"1,200 ",2000 ,Resale
1098,seller,VERIFIED OWNER,Residential Plot,Peddakaparthy,Hyderabad, 14.55 L,808 ,1800 ,Resale
1099,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 30.25 L,555 ,5445 ,Resale
1100,seller,VERIFIED OWNER,Residential Plot,Kondakal,Hyderabad, 3.2 Cr,"13,316 ",2403 ,Resale
1101,seller,VERIFIED OWNER,Residential Plot,Upparpally,Hyderabad, 1.05 Cr,"8,974 ",1170 ,Resale
1102,seller,VERIFIED OWNER,Residential Plot,Kothur,Hyderabad, 22 L,"1,222 ",1800 ,Resale
1103,seller,VERIFIED OWNER,Residential Plot,Dundigal,Hyderabad, 66 L,"3,666 ",1800 ,Resale
1104,seller,VERIFIED OWNER,Residential Plot,Kachiguda,Hyderabad, 24.5 L,"1,814 ",1350 ,Resale
1105,seller,VERIFIED OWNER,Residential Plot,Keesara,Hyderabad, 33 L,"2,195 ",1503 ,Resale
1106,seller,VERIFIED OWNER,Residential Plot,Jubilee Hills,Hyderabad, 43 Cr,"42,658 ",10080 ,Resale
1107,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 15.67 L,"1,055 ",1485 ,Resale
