,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
0,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 65.98 L,"4,200 ",1571 ,Under Construction
1,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.48 Cr,"7,700 ",1930 ,Under Construction
2,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 2.99 Cr,"7,200 ",4157 ,Under Construction
3,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.08 Cr,"12,000 ",3400 ,Under Construction
4,Grenstone Infra,BUILDER,4 BHK Villa,Maheshwaram,Hyderabad, 1.4 Cr,"5,200 ",2701 ,Under Construction
5,Mahaveer Group,BUILDER,4 BHK Apartment,Attapur,Hyderabad, 3.52 Cr,"7,500 ",4706 ,Under Construction
6,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 4.31 Cr,"8,499 ",5080 ,Under Construction
7,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 63 L,"2,000 ",3150 ,New
8,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 73.34 L,"5,599 ",1310 ,Under Construction
9,Vajram Constructions,BUILDER,3 BHK Apartment,Gopanpally,Hyderabad, 1.65 Cr,"6,499 ",2550 ,Under Construction
10,Ira Reality,BUILDER,4 BHK Villa,Mamidipally,Hyderabad, 7.35 Cr,"12,000 ",6125 ,Under Construction
11,Vasavi Group,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.08 Cr,"5,500 ",1965 ,Under Construction
12,GHR Infra,BUILDER,3 BHK Apartment,Kollur,Hyderabad, 94.94 L,"5,349 ",1775 ,Under Construction
13,Aavasa Constructions,BUILDER,2 BHK Apartment,Saroor Nagar,Hyderabad, 85.15 L,"6,500 ",1310 ,Under Construction
14,Risinia Builders,BUILDER,2 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 68.21 L,"5,199 ",1312 ,Under Construction
15,ASBL,BUILDER,2 BHK Apartment,Pocharam,Hyderabad, 56.85 L,"4,699 ",1210 ,Under Construction
16,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,Sainikpuri,Hyderabad, 1.34 Cr,"6,100 ",2200 ,Under Construction
17,SVC Constructions,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.02 Cr,"5,400 ",1902 ,Under Construction
18,Makuta Developers,BUILDER,3 BHK Apartment,Bachupally,Hyderabad, 1 Cr,"5,990 ",1670 ,Under Construction
19,Provident Housing Limited,BUILDER,3 BHK Apartment,Rajendra Nagar,Hyderabad, 80 L,"7,641 ",1047 ,Ready to move
20,GSR Group,BUILDER,4 BHK Independent House,Kollur,Hyderabad, 4.09 Cr,"6,500 ",6300 ,Under Construction
21,Sumadhura Infracon Pvt Ltd,BUILDER,2 BHK Apartment,Shamshabad,Hyderabad, 78.01 L,"6,071 ",1285 ,Under Construction
22,G square Housing,BUILDER,Residential Plot,Choutuppal,Hyderabad, 48.99 L,"2,039 ",2403 ,New
23,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 57.87 L,"4,200 ",1378 ,Under Construction
24,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.64 Cr,"7,700 ",2130 ,Under Construction
25,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.26 Cr,"7,200 ",4540 ,Under Construction
26,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.08 Cr,"12,000 ",3400 ,Under Construction
27,Grenstone Infra,BUILDER,4 BHK Villa,Maheshwaram,Hyderabad, 1.59 Cr,"5,199 ",3060 ,Under Construction
28,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.76 Cr,"7,502 ",2350 ,Under Construction
29,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 4.31 Cr,"8,499 ",5080 ,Under Construction
30,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 72 L,"2,000 ",3600 ,New
31,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 73.34 L,"5,599 ",1310 ,Under Construction
32,Vajram Constructions,BUILDER,3 BHK Apartment,Gopanpally,Hyderabad, 1.32 Cr,"6,499 ",2040 ,Under Construction
33,Ira Reality,BUILDER,4 BHK Villa,Mamidipally,Hyderabad, 7.32 Cr,"12,000 ",6105 ,Under Construction
34,Vasavi Group,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.08 Cr,"5,500 ",1965 ,Under Construction
35,GHR Infra,BUILDER,3 BHK Apartment,Kollur,Hyderabad, 94.94 L,"5,349 ",1775 ,Under Construction
36,Aavasa Constructions,BUILDER,3 BHK Apartment,Saroor Nagar,Hyderabad, 1.52 Cr,"6,500 ",2345 ,Under Construction
37,Risinia Builders,BUILDER,2 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 68.21 L,"5,199 ",1312 ,Under Construction
38,ASBL,BUILDER,3 BHK Apartment,Pocharam,Hyderabad, 69.31 L,"4,699 ",1475 ,Under Construction
39,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,Sainikpuri,Hyderabad, 1.33 Cr,"6,100 ",2195 ,Under Construction
40,SVC Constructions,BUILDER,2 BHK Apartment,Jeedimetla,Hyderabad, 81.54 L,"5,400 ",1510 ,Under Construction
41,Makuta Developers,BUILDER,3 BHK Apartment,Bachupally,Hyderabad, 1.48 Cr,"5,990 ",2485 ,Under Construction
42,Provident Housing Limited,BUILDER,1 BHK Apartment,Rajendra Nagar,Hyderabad, 48 L,"7,869 ",610 ,Ready to move
43,GSR Group,BUILDER,4 BHK Independent House,Kollur,Hyderabad, 4.09 Cr,"6,500 ",6300 ,Under Construction
44,Sumadhura Infracon Pvt Ltd,BUILDER,2 BHK Apartment,Shamshabad,Hyderabad, 78.01 L,"6,071 ",1285 ,Under Construction
45,G square Housing,BUILDER,Residential Plot,Choutuppal,Hyderabad, 97.81 L,"2,039 ",4797 ,New
46,Eco Green Builders,BUILDER,2 BHK Apartment,Gundlapochampally,Hyderabad, 46.87 L,"4,200 ",1116 ,Under Construction
47,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.77 Cr,"7,700 ",2300 ,Under Construction
48,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.25 Cr,"7,200 ",4524 ,Under Construction
49,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.52 Cr,"12,000 ",3770 ,Under Construction
50,Mahaveer Group,BUILDER,4 BHK Apartment,Attapur,Hyderabad, 3.52 Cr,"7,500 ",4706 ,Under Construction
51,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.73 Cr,"8,499 ",2040 ,Under Construction
52,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 36 L,"2,000 ",1800 ,New
53,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 73.34 L,"5,599 ",1310 ,Under Construction
54,Vajram Constructions,BUILDER,3 BHK Apartment,Gopanpally,Hyderabad, 1.55 Cr,"6,499 ",2385 ,Under Construction
55,Vasavi Group,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.04 Cr,"5,500 ",1900 ,Under Construction
56,GHR Infra,BUILDER,2 BHK Apartment,Kollur,Hyderabad, 69.26 L,"5,349 ",1295 ,Under Construction
57,Aavasa Constructions,BUILDER,3 BHK Apartment,Saroor Nagar,Hyderabad, 99.77 L,"6,500 ",1535 ,Under Construction
58,Risinia Builders,BUILDER,3 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 95.81 L,"5,199 ",1843 ,Under Construction
59,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,Sainikpuri,Hyderabad, 1.29 Cr,"6,100 ",2130 ,Under Construction
60,SVC Constructions,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.02 Cr,"5,400 ",1900 ,Under Construction
61,Makuta Developers,BUILDER,2 BHK Apartment,Bachupally,Hyderabad, 80.86 L,"5,990 ",1350 ,Under Construction
62,Provident Housing Limited,BUILDER,3 BHK Apartment,Rajendra Nagar,Hyderabad, 94.99 L,"7,224 ",1315 ,Ready to move
63,GSR Group,BUILDER,3 BHK Independent House,Kollur,Hyderabad, 2.08 Cr,"6,500 ",3200 ,Under Construction
64,Sumadhura Infracon Pvt Ltd,BUILDER,2 BHK Apartment,Shamshabad,Hyderabad, 78.01 L,"6,071 ",1285 ,Under Construction
65,G square Housing,BUILDER,Residential Plot,Choutuppal,Hyderabad, 48.99 L,"2,039 ",2403 ,New
66,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 29.6 L,"1,777 ",1665 ,New
67,Maaruthi Group,AGENT,2 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 56 L,"5,090 ",1100 ,Ready to move
68,M Kartheek,AGENT,3 BHK Apartment,Tellapur,Hyderabad, 1.54 Cr,"7,199 ",2150 ,Under Construction
69,seller,VERIFIED OWNER,2 BHK Apartment,Shamirpet,Hyderabad, 38 L,"3,486 ",1090 ,Under Construction
70,seller,VERIFIED OWNER,3 BHK Independent Floor,Malakpet,Hyderabad, 47 L,"4,351 ",1080 ,Ready to move
71,seller,VERIFIED OWNER,2 BHK Apartment,Miyapur,Hyderabad, 65 L,"7,080 ",918 ,Under Construction
72,seller,VERIFIED OWNER,3 BHK Apartment,Kollur,Hyderabad, 79.5 L,"4,968 ",1600 ,Ready to move
73,seller,VERIFIED OWNER,3 BHK Apartment,Kokapet,Hyderabad, 1.03 Cr,"5,498 ",1885 ,Under Construction
74,seller,VERIFIED OWNER,3 BHK Apartment,Alwal,Hyderabad, 81.75 L,"5,000 ",1635 ,Ready to move
75,seller,VERIFIED OWNER,3 BHK Apartment,Alwal,Hyderabad, 75 L,"12,500 ",600 ,Ready to move
76,seller,VERIFIED OWNER,4 BHK Villa,Patancheru,Hyderabad, 75 L,"3,750 ",2000 ,Under Construction
77,seller,VERIFIED OWNER,4 BHK Villa,Manneguda,Hyderabad, 3 Cr,"9,490 ",3161 ,Under Construction
78,seller,VERIFIED OWNER,4 BHK Apartment,Hitech City,Hyderabad, 2.46 Cr,"9,148 ",2695 ,Ready to move
79,seller,VERIFIED OWNER,2 BHK Apartment,Kollur,Hyderabad, 41.78 L,"3,799 ",1100 ,Under Construction
80,seller,VERIFIED OWNER,3 BHK Villa,IDA Pashamylaram,Hyderabad, 95.55 L,"4,550 ",2100 ,Under Construction
81,seller,VERIFIED OWNER,Residential Plot,Shadnagar,Hyderabad, 40 L,"1,777 ",2250 ,Resale
82,seller,VERIFIED OWNER,Residential Plot,Tallagudem,Hyderabad, 11.25 L,833 ,1350 ,Resale
83,seller,VERIFIED OWNER,Residential Plot,Aziz Nagar,Hyderabad, 50 L,"2,436 ",2052 ,Resale
84,seller,VERIFIED OWNER,4 BHK Apartment,Habsiguda,Hyderabad, 55 L,"5,233 ",1051 ,Ready to move
85,seller,VERIFIED OWNER,4 BHK Apartment,Narsingi,Hyderabad, 68.6 L,"5,697 ",1204 ,Under Construction
86,seller,VERIFIED OWNER,3 BHK Apartment,Sainikpuri,Hyderabad, 85.2 L,"5,325 ",1600 ,Under Construction
87,seller,VERIFIED OWNER,4 BHK Villa,Velmala,Hyderabad, 4.51 Cr,"11,000 ",4100 ,Under Construction
88,seller,VERIFIED OWNER,2 BHK Independent House,Laxmiguda,Hyderabad, 75 L,"6,818 ",1100 ,Ready to move
89,seller,VERIFIED OWNER,2 BHK Apartment,Bongloor,Hyderabad, 55 L,"5,000 ",1100 ,Ready to move
90,seller,VERIFIED OWNER,Residential Plot,Kadthal,Hyderabad, 25 L,205 ,12150 ,Resale
91,seller,VERIFIED OWNER,2 BHK Apartment,Ameenpur,Hyderabad, 50 L,"4,901 ",1020 ,Ready to move
92,seller,VERIFIED OWNER,2 BHK Apartment,Toli Chowki,Hyderabad, 65 L,"4,814 ",1350 ,Ready to move
93,seller,VERIFIED OWNER,3 BHK Apartment,Bachupally,Hyderabad, 87.49 L,"5,700 ",1535 ,Ready to move
94,seller,VERIFIED OWNER,2 BHK Apartment,Bandlaguda Jagir,Hyderabad, 79.99 L,"6,530 ",1225 ,Ready to move
95,seller,VERIFIED OWNER,2 BHK Apartment,Aminpur,Hyderabad, 59 L,"4,796 ",1230 ,Ready to move
96,seller,VERIFIED OWNER,3 BHK Apartment,Bairagiguda,Hyderabad, 79.99 L,"5,044 ",1586 ,Ready to move
97,seller,VERIFIED OWNER,2 BHK Apartment,Kadthal,Hyderabad, 85 L,"7,713 ",1102 ,Ready to move
98,seller,VERIFIED OWNER,2 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 80 L,"5,517 ",1450 ,Under Construction
99,seller,VERIFIED OWNER,2 BHK Apartment,Bachupally,Hyderabad, 89 L,"6,357 ",1400 ,Under Construction
100,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 62.41 L,"4,200 ",1486 ,Under Construction
101,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 66.94 L,"4,200 ",1594 ,Under Construction
102,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.61 Cr,"7,700 ",2100 ,Under Construction
103,Alekya Infraa Developers,AGENT,Residential Plot,Nallagandla Gachibowli,Hyderabad, 27.2 L,"1,777 ",1530 ,New
104,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 75 L,"2,777 ",2700 ,New
105,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 62.5 L,"2,777 ",2250 ,New
106,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 56.25 L,"2,777 ",2025 ,New
107,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 50 L,"2,777 ",1800 ,New
108,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 42.5 L,"2,777 ",1530 ,New
109,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 41.25 L,"2,777 ",1485 ,New
110,Alekya Infraa Developers,AGENT,Residential Plot,Bogaram,Hyderabad, 50 L,"2,777 ",1800 ,New
111,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 40 L,"1,777 ",2250 ,New
112,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 28 L,"1,777 ",1575 ,New
113,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 2.62 Cr,"7,200 ",3652 ,Under Construction
114,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.33 Cr,"7,200 ",4635 ,Under Construction
115,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.04 Cr,"7,200 ",4227 ,Under Construction
116,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.02 Cr,"7,200 ",4207 ,Under Construction
117,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 3.2 Cr,"7,200 ",4448 ,Under Construction
118,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.52 Cr,"12,000 ",3770 ,Under Construction
119,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.08 Cr,"12,000 ",3400 ,Under Construction
120,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.08 Cr,"12,000 ",3400 ,Under Construction
121,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.52 Cr,"12,000 ",3770 ,Under Construction
122,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.52 Cr,"12,000 ",3770 ,Under Construction
123,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 3.71 Cr,"12,000 ",3095 ,Under Construction
124,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 3.71 Cr,"12,000 ",3095 ,Under Construction
125,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.58 Cr,"12,000 ",3820 ,Under Construction
126,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.58 Cr,"12,000 ",3820 ,Under Construction
127,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.41 Cr,"12,000 ",3675 ,Under Construction
128,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.41 Cr,"12,000 ",3675 ,Under Construction
129,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 3.69 Cr,"12,000 ",3075 ,Under Construction
130,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 3.69 Cr,"12,000 ",3075 ,Under Construction
131,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.63 Cr,"12,000 ",3865 ,Under Construction
132,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.63 Cr,"12,000 ",3865 ,Under Construction
133,APR Group,BUILDER,3 BHK Apartment,Patancheru,Hyderabad, 60.97 L,"4,500 ",1355 ,Under Construction
134,APR Group,BUILDER,2 BHK Apartment,Patancheru,Hyderabad, 50.62 L,"4,500 ",1125 ,Under Construction
135,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 48 L,"1,777 ",2700 ,New
136,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 31.2 L,"1,777 ",1755 ,New
137,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 28.8 L,"1,777 ",1620 ,New
138,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 48.75 L,"2,777 ",1755 ,New
139,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 47.5 L,"2,777 ",1710 ,New
140,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 31.2 L,"1,777 ",1755 ,New
141,Alekya Infraa Developers,AGENT,Residential Plot,Aroor,Hyderabad, 28.8 L,"1,777 ",1620 ,New
142,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 48.75 L,"2,777 ",1755 ,New
143,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 47.5 L,"2,777 ",1710 ,New
144,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 46.25 L,"2,777 ",1665 ,New
145,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 45 L,"2,777 ",1620 ,New
146,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 43.75 L,"2,777 ",1575 ,New
147,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 40 L,"2,777 ",1440 ,New
148,Alekya Infraa Developers,AGENT,Residential Plot,Sangareddy,Hyderabad, 40.75 L,"2,777 ",1467 ,New
149,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.36 Cr,"7,499 ",1825 ,Under Construction
150,Mahaveer Group,BUILDER,4 BHK Apartment,Attapur,Hyderabad, 3.52 Cr,"7,500 ",4706 ,Under Construction
151,Mahaveer Group,BUILDER,4 BHK Apartment,Attapur,Hyderabad, 3.52 Cr,"7,500 ",4706 ,Under Construction
152,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.76 Cr,"7,502 ",2350 ,Under Construction
153,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.76 Cr,"7,502 ",2350 ,Under Construction
154,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.36 Cr,"7,499 ",1825 ,Under Construction
155,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.36 Cr,"7,499 ",1825 ,Under Construction
156,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.19 Cr,"7,503 ",1600 ,Under Construction
157,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.19 Cr,"7,503 ",1600 ,Under Construction
158,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.37 Cr,"7,502 ",1840 ,Under Construction
159,Mahaveer Group,BUILDER,3 BHK Apartment,Attapur,Hyderabad, 1.37 Cr,"7,502 ",1840 ,Under Construction
160,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.65 Cr,"7,800 ",3400 ,Under Construction
161,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.65 Cr,"7,800 ",3400 ,Under Construction
162,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.65 Cr,"7,800 ",3400 ,Under Construction
163,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.65 Cr,"7,800 ",3400 ,Under Construction
164,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.34 Cr,"7,800 ",3000 ,Under Construction
165,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.34 Cr,"7,800 ",3000 ,Under Construction
166,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.4 Cr,"7,800 ",1800 ,Under Construction
167,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.4 Cr,"7,800 ",1800 ,Under Construction
168,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.32 Cr,"7,800 ",1700 ,Under Construction
169,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.32 Cr,"7,800 ",1700 ,Under Construction
170,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.17 Cr,"7,800 ",1500 ,Under Construction
171,Mahaveer Group,BUILDER,3 BHK Apartment,Begumpet,Hyderabad, 1.17 Cr,"7,800 ",1500 ,Under Construction
172,Mahaveer Group,BUILDER,2 BHK Apartment,Begumpet,Hyderabad, 93.6 L,"7,800 ",1200 ,Under Construction
173,Mahaveer Group,BUILDER,2 BHK Apartment,Begumpet,Hyderabad, 93.6 L,"7,800 ",1200 ,Under Construction
174,Mahaveer Group,BUILDER,2 BHK Apartment,Begumpet,Hyderabad, 85.8 L,"7,800 ",1100 ,Under Construction
175,Mahaveer Group,BUILDER,2 BHK Apartment,Begumpet,Hyderabad, 85.8 L,"7,800 ",1100 ,Under Construction
176,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.8 Cr,"7,800 ",3600 ,Under Construction
177,Mahaveer Group,BUILDER,4 BHK Independent House,Begumpet,Hyderabad, 2.8 Cr,"7,800 ",3600 ,Under Construction
178,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.73 Cr,"8,499 ",2040 ,Under Construction
179,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 3.46 Cr,"8,499 ",4080 ,Under Construction
180,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 3.46 Cr,"8,499 ",4080 ,Under Construction
181,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 2.03 Cr,"8,499 ",2400 ,Under Construction
182,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 2.03 Cr,"8,499 ",2400 ,Under Construction
183,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 2.84 Cr,"8,499 ",3342 ,Under Construction
184,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 2.84 Cr,"8,499 ",3342 ,Under Construction
185,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 2.15 Cr,"8,499 ",2540 ,Under Construction
186,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 2.15 Cr,"8,499 ",2540 ,Under Construction
187,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.5 Cr,"8,499 ",1765 ,Under Construction
188,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.5 Cr,"8,499 ",1765 ,Under Construction
189,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.61 Cr,"8,499 ",1895 ,Under Construction
190,Hallmark Builders,BUILDER,3 BHK Apartment,Gandipet,Hyderabad, 1.61 Cr,"8,499 ",1895 ,Under Construction
191,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.16 Cr,"7,099 ",1635 ,Under Construction
192,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.16 Cr,"7,099 ",1635 ,Under Construction
193,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.6 Cr,"7,099 ",2255 ,Under Construction
194,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.6 Cr,"7,099 ",2255 ,Under Construction
195,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.16 Cr,"7,099 ",1635 ,Under Construction
196,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.16 Cr,"7,099 ",1635 ,Under Construction
197,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.6 Cr,"7,099 ",2255 ,Under Construction
198,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.6 Cr,"7,099 ",2255 ,Under Construction
199,Hallmark Builders,BUILDER,2 BHK Apartment,Narsingi,Hyderabad, 94.06 L,"7,099 ",1325 ,Under Construction
200,Hallmark Builders,BUILDER,2 BHK Apartment,Narsingi,Hyderabad, 94.06 L,"7,099 ",1325 ,Under Construction
201,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.37 Cr,"7,099 ",1935 ,Under Construction
202,Hallmark Builders,BUILDER,3 BHK Apartment,Narsingi,Hyderabad, 1.37 Cr,"7,099 ",1935 ,Under Construction
203,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 34.02 L,"2,000 ",1701 ,New
204,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 54 L,"2,000 ",2700 ,New
205,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 39.6 L,"2,000 ",1980 ,New
206,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 34.2 L,"2,000 ",1710 ,New
207,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 90 L,"2,000 ",4500 ,New
208,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 45 L,"2,000 ",2250 ,New
209,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 81 L,"2,000 ",4050 ,New
210,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 73.34 L,"5,599 ",1310 ,Under Construction
211,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 69.7 L,"5,599 ",1245 ,Under Construction
212,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 69.7 L,"5,599 ",1245 ,Under Construction
213,Beams And Columns Builders Private Limited,BUILDER,3 BHK Apartment,Kompally,Hyderabad, 88.18 L,"5,599 ",1575 ,Under Construction
214,Beams And Columns Builders Private Limited,BUILDER,3 BHK Apartment,Kompally,Hyderabad, 88.18 L,"5,599 ",1575 ,Under Construction
